TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_gcp1,AC[2]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_B_pie,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[3]_Q1_T_eps,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw,Class
12.119810229537425,0.0,55.031000000000006,-995.595,72.59731437852325,nonAPP
12.119810229537425,0.0,35.9398,-959.5175,77.25611144440177,nonAPP
0.0,0.0,33.9664,-959.345,87.20591776399473,nonAPP
13.116830791010456,0.0,15.7336,-949.9,88.96941503965382,nonAPP
0.0,15.755143769497469,32.2977,-882.5925,75.95522716396586,nonAPP
0.0,14.905221408167728,33.9096,-915.54,95.79093303940182,nonAPP
0.0,0.0,16.5369,-1001.47,79.26968353337824,nonAPP
0.0,0.0,64.3448,-915.4175,87.87024740143946,nonAPP
35.69,0.0,18.2252,-997.64,98.34534296012612,nonAPP
0.0,0.0,35.0568,-905.295,82.48101243067836,nonAPP
12.119810229537425,0.0,32.1488,-913.355,83.83578004782292,nonAPP
0.0,0.0,35.7006,-927.81,48.64130739206404,nonAPP
12.119810229537425,28.937680875183705,10.3684,-962.005,74.53086288524474,nonAPP
13.116830791010456,0.0,34.6472,-915.115,75.9448044872287,nonAPP
0.0,30.26774598390877,35.760400000000004,-931.64,80.01458799089545,nonAPP
17.14,0.0,35.7006,-966.37,78.65732491337614,nonAPP
18.55,8.88116218649839,34.1936,-941.3225,83.46233797426925,nonAPP
0.0,11.367527266930695,35.760400000000004,-928.02,66.47774840748299,nonAPP
0.0,13.900960135487932,19.3844,-923.3425,71.27934085684711,nonAPP
13.116830791010456,9.544852742000655,58.6348,-882.75,38.07579042101637,nonAPP
0.0,0.0,33.9664,-927.915,63.510609699158,nonAPP
35.69,0.0,31.362800000000004,-965.2975,86.69513782565592,nonAPP
0.0,0.0,35.7006,-927.81,84.09738736247286,nonAPP
13.116830791010456,0.0,33.9664,-937.085,80.14742195148266,nonAPP
0.0,0.0,60.9016,-925.86,93.26140631249052,nonAPP
0.0,7.917504022121252,35.9394,-896.24,43.19798207584624,nonAPP
12.119810229537425,7.492088521286803,55.9076,-924.41,89.8719177895602,nonAPP
9.895783761368852,0.0,53.37520000000001,-927.81,82.69566835346366,nonAPP
0.0,0.0,24.4398,-959.08,95.94620033624662,nonAPP
8.295812258332838,7.150647723250381,30.7288,-936.93,81.94780071449222,nonAPP
13.231139432530773,8.40756764396578,17.6456,-925.21,83.40960143690806,nonAPP
7.573005900951238,8.46471005540658,63.1612,-925.3675,78.57516635884151,nonAPP
8.74455389324964,6.644551806742887,57.3686,-915.09,76.49137040831546,nonAPP
0.0,6.3741603811306415,45.69179999999999,-929.175,76.64381926587063,nonAPP
12.119810229537425,8.843162407405908,33.9096,-952.4,87.8647887204545,nonAPP
0.0,6.779584009612449,38.9448,-913.41,74.67960177361525,nonAPP
0.0,7.709066617482145,16.5369,-933.43,85.32354090475329,nonAPP
8.57,9.176422594112726,33.7305,-963.12,79.48874805349551,nonAPP
0.0,14.74938051444577,16.5369,-952.255,84.10300776548134,nonAPP
13.116830791010456,0.0,55.3232,-942.02,82.09001851712237,nonAPP
10.70984765305672,8.15253067882539,39.0096,-913.58,84.27731580512949,nonAPP
9.895783761368852,7.69278186439486,35.7006,-938.96,84.78594132434374,nonAPP
11.294973302360516,8.340786090096726,33.7305,-951.76,83.46888618000794,nonAPP
9.895783761368852,0.0,35.7006,-928.925,83.30526004532238,nonAPP
13.116830791010456,0.0,16.5369,-945.68,83.23019959504471,nonAPP
0.0,9.354865555629257,35.640899999999995,-905.54,70.49028903731266,nonAPP
15.912369115860312,30.062414960310623,33.9565,-978.01,87.08716334557997,nonAPP
9.895783761368852,10.347987075256778,58.2452,-929.435,73.0102360820098,nonAPP
0.0,0.0,64.7752,-913.84,69.04572819884844,nonAPP
10.70984765305672,9.580153368243035,35.4578,-930.985,76.0423693997671,nonAPP
10.70984765305672,8.61309691679499,35.9394,-916.8525,65.00594933064686,nonAPP
13.116830791010456,6.976229782525084,58.2452,-959.29,82.47967004729507,nonAPP
0.0,7.324443937731778,16.564600000000002,-951.92,78.49911199569812,nonAPP
